Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
147 1.4215 1.2335 0.7343 0.0118 0.7225 0.0088 0.0108 0.0020 0.5433 0.7228 0.1795
148 1.4261 1.2547 0.7408 0.0052 0.7357 0.0174 0.0141 0.0034 0.5435 1.4388 0.8953
149 1.4084 1.2368 0.7495 0.0145 0.7350 0.0166 0.0218 0.0052 0.5438 0.5907 0.0469
150 1.3947 1.2069 0.7592 0.0316 0.7276 0.0228 0.0073 0.0155 0.5184 0.4049 0.1135
151 1.3696 1.2222 0.7683 0.0330 0.7353 0.0119 0.0015 0.0105 0.5446 0.7296 0.1850
152 1.3749 1.2408 0.7508 0.0311 0.7196 0.0017 0.0053 0.0036 0.5437 0.8129 0.2693
153 1.4510 1.2411 0.7634 0.0413 0.7221 0.0041 0.0027 0.0014 0.5444 0.6621 0.1178
154 1.4311 1.2510 0.7563 0.0291 0.7273 0.0013 0.0274 0.0261 0.5436 0.8527 0.3091
155 1.4512 1.2307 0.7641 0.0360 0.7281 0.0095 0.0234 0.0140 0.5431 0.6625 0.1194
156 1.4452 1.2476 0.7686 0.0037 0.7650 0.0087 0.0021 0.0065 0.5439 0.6763 0.1324
157 1.4569 1.2427 0.7767 0.0247 0.7520 0.0022 0.0075 0.0053 0.5436 1.2680 0.7244
158 1.4449 1.2425 0.7847 0.0245 0.7601 0.0033 0.0208 0.0175 0.5432 0.2391 0.3041
159 1.4426 1.2404 0.7790 0.0267 0.7523 0.0057 0.0209 0.0152 0.5436 0.5469 0.0033
160 1.4019 1.2322 0.7838 0.0215 0.7623 0.0004 0.0220 0.0217 0.5413 0.8341 0.2928
161 1.4231 1.2192 0.7867 0.0261 0.7606 0.0034 0.0066 0.0032 0.5439 0.6671 0.1232
162 1.4116 1.2514 0.7913 0.0243 0.7670 0.0104 0.0017 0.0087 0.5445 0.7249 0.1804
163 1.3735 1.2406 0.7942 0.0319 0.7623 0.0119 0.0027 0.0092 0.5455 0.8747 0.3292
164 1.3721 1.2367 0.7878 0.0352 0.7526 0.0162 0.0173 0.0011 0.5441 0.6257 0.0817
165 1.3980 1.2295 0.7874 0.0312 0.7562 0.0085 0.0084 0.0001 0.5427 0.7283 0.1855
166 1.4130 1.2391 0.7888 0.0352 0.7536 0.0103 0.0163 0.0059 0.5428 0.6824 0.1396
167 1.4242 1.1965 0.7799 0.0630 0.7169 0.0033 0.0009 0.0025 0.5417 0.6645 0.1229
168 1.3713 1.2270 0.7832 0.0446 0.7386 0.0033 0.0003 0.0030 0.5399 0.7291 0.1892
169 1.4420 1.2371 0.7901 0.0406 0.7495 0.0028 0.0253 0.0225 0.5416 0.8514 0.3099
170 1.4366 1.2156 0.7936 0.0614 0.7322 0.0030 0.0175 0.0145 0.5384 0.6825 0.1440
171 1.4374 1.2259 0.7941 0.0568 0.7372 0.0082 0.0005 0.0077 0.5400 0.6722 0.1322
172 1.4604 1.2288 0.7857 0.0352 0.7505 0.0071 0.0206 0.0134 0.5393 0.6677 0.1284
173 1.4448 1.2477 0.7946 0.0154 0.7793 0.0069 0.0031 0.0038 0.5391 0.7191 0.1800
174 1.4951 1.2254 0.7893 0.0466 0.7427 0.0001 0.0043 0.0042 0.5394 0.7318 0.1924
175 1.4918 1.2200 0.7822 0.0540 0.7282 0.0009 0.0018 0.0010 0.5394 0.9014 0.3620
176 1.5128 1.2252 0.7741 0.0454 0.7287 0.0004 0.0012 0.0008 0.5398 0.7201 0.1803
177 1.5213 1.2180 0.7817 0.0526 0.7291 0.0015 0.0098 0.0084 0.5391 0.6672 0.1281
