Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
169 1.2432 0.4105 0.7901 0.9146 0.1245 0.0028 0.0284 0.0256 0.5416 0.6579 0.1164
170 1.2418 0.4025 0.7936 0.9146 0.1210 0.0030 0.0284 0.0253 0.5384 0.6582 0.1198
171 1.2273 0.4102 0.7941 0.9143 0.1203 0.0082 0.0278 0.0195 0.5400 0.6585 0.1186
172 1.2219 0.4070 0.7857 0.9136 0.1279 0.0071 0.0290 0.0219 0.5393 0.6590 0.1197
173 1.2154 0.4067 0.7946 0.9134 0.1188 0.0069 0.0289 0.0220 0.5391 0.6592 0.1201
174 1.2230 0.4058 0.7893 0.9130 0.1238 0.0001 0.0291 0.0290 0.5394 0.6592 0.1198
175 1.2468 0.4187 0.7822 0.9139 0.1317 0.0009 0.0295 0.0286 0.5394 0.6598 0.1204
176 1.2442 0.4113 0.7741 0.9147 0.1406 0.0004 0.0296 0.0292 0.5398 0.6600 0.1202
177 1.2918 0.4048 0.7817 0.9137 0.1320 0.0015 0.0290 0.0276 0.5391 0.6600 0.1210
178 1.2971 0.4170 0.7751 0.9141 0.1390 0.0072 0.0292 0.0220 0.5389 0.6607 0.1218
179 1.3070 0.4188 0.7764 0.9140 0.1376 0.0142 0.0293 0.0151 0.5401 0.6608 0.1207
180 1.3647 0.4206 0.7736 0.9138 0.1402 0.0107 0.0296 0.0188 0.5400 0.6608 0.1208
181 1.3624 0.4173 0.7850 0.9138 0.1288 0.0058 0.0290 0.0232 0.5429 0.6613 0.1184
182 1.3544 0.4119 0.7888 0.9135 0.1246 0.0135 0.0287 0.0152 0.5415 0.6615 0.1200
183 1.3540 0.4231 0.7980 0.9134 0.1155 0.0075 0.0284 0.0209 0.5528 0.6618 0.1090
184 1.3246 0.4167 0.7871 0.9137 0.1267 0.0074 0.0279 0.0204 0.5419 0.6620 0.1201
185 1.3470 0.4217 0.7955 0.9136 0.1181 0.0086 0.0293 0.0207 0.5586 0.6624 0.1037
186 1.3588 0.4185 0.7952 0.9139 0.1187 0.0099 0.0278 0.0179 0.5425 0.6621 0.1196
187 1.3345 0.4092 0.8040 0.9145 0.1105 0.0084 0.0287 0.0204 0.5435 0.6625 0.1190
188 1.3143 0.4285 0.7965 0.9141 0.1176 0.0067 0.0290 0.0223 0.5416 0.6630 0.1214
189 1.3026 0.4257 0.8051 0.9137 0.1085 0.0081 0.0291 0.0210 0.5419 0.6632 0.1213
190 1.3057 0.4245 0.7985 0.9137 0.1152 0.0063 0.0295 0.0233 0.5589 0.6634 0.1045
191 1.3313 0.4404 0.7824 0.9132 0.1308 0.0048 0.0296 0.0248 0.5619 0.6635 0.1016
192 1.3179 0.4258 0.7762 0.9129 0.1367 0.0030 0.0298 0.0267 0.5583 0.6638 0.1054
193 1.3093 0.4336 0.7902 0.9132 0.1230 0.0078 0.0295 0.0217 0.5579 0.6638 0.1058
194 1.3632 0.4323 0.7971 0.9131 0.1160 0.0011 0.0295 0.0284 0.5911 0.6641 0.0729
195 1.3383 0.4181 0.7953 0.9133 0.1180 0.0039 0.0295 0.0256 0.5824 0.6645 0.0821
196 1.3330 0.4214 0.7875 0.9134 0.1259 0.0021 0.0298 0.0277 0.5761 0.6648 0.0887
197 1.3453 0.4212 0.7926 0.9125 0.1199 0.0087 0.0307 0.0220 0.5779 0.6653 0.0874
198 1.3357 0.4448 0.7841 0.9130 0.1289 0.0024 0.0300 0.0276 0.5773 0.6652 0.0880
199 1.3191 0.4398 0.7821 0.9122 0.1301 0.0075 0.0300 0.0225 0.5794 0.6655 0.0861
200 1.3486 0.4409 0.7909 0.9120 0.1211 0.0082 0.0296 0.0214 0.5794 0.6658 0.0864
